[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density,control_spn_median,relative_spn_median,control_spn_mean,rel_spn_mean
1,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,249,0.059139785,36.1147541,17,0.995983936,98.25479285,0,126550,194.5,-0.912596401,221.2818357,-0.836792957
2,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,0,0.747368421,0,0,0,0,0,893069,194.5,-1,221.2818357,-1
3,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,202,0.034965035,24.31088083,12,0.98019802,68.04080971,0,62427,194.5,-0.938303342,221.2818357,-0.890136121
4,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,199,0.069364162,106.678392,87,1,51.46211848,0,188317,194.5,-0.552699229,221.2818357,-0.517907145
5,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,184,0.337037037,246.1086957,208,1,51.76760631,0,449633,194.5,0.06940874,221.2818357,0.112195652
6,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,238,0.026737968,29.83116883,14,0.991596639,100.6138214,0,86889,194.5,-0.928020566,221.2818357,-0.865189256
7,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,96,0.5625,395.2708333,397,1,10.81696594,0,685495,194.5,1.041131105,221.2818357,0.786277812
8,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,41,0.561253561,427.8780488,436,1,6.064718121,0,621536,194.5,1.241645244,221.2818357,0.933633854
9,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,165,0.143518519,189.4545455,166,1,42.45985675,0,257309,194.5,-0.146529563,221.2818357,-0.143831463
10,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.09,0.25,17.8,1,0,0,0.1,0,0,0,0.095,0,90,188,0.194444444,139.5159574,90,1,89.98740444,0,285485,194.5,-0.537275064,221.2818357,-0.369510123
